Quận,Loại hình nhà ở,Giấy tờ pháp lý,ViTriXa_km,TuoiNha,Số tầng,Số phòng ngủ,Diện tích_m2,Giá_m2
Quận Hai Bà Trưng,Penthouse,Sổ hồng,8.1,34,23,2,67,138.7
Quận Hai Bà Trưng,Duplex,Sổ hồng,1.2,16,3,1,144,167.9
Quận Long Biên,Chung cư,Đã có sổ,14.8,18,7,2,70,104.9
Quận Thanh Xuân,Chung cư,Đã có sổ,2,39,27,1,49,138
Quận Tây Hồ,Chung cư,Sổ hồng,14.5,24,31,3,55,119.1
Quận Cầu Giấy,Chung cư,Sổ hồng,16.8,3,11,1,82,115.2
Quận Đống Đa,Chung cư,Đã có sổ,4.9,32,34,1,129,142.6
Quận Đống Đa,Duplex,Đã có sổ,15.6,33,35,3,115,118.1
Quận Hà Đông,Chung cư,Đã có sổ,18.3,30,37,1,72,94.2
Quận Hà Đông,Chung cư,Sổ hồng,11.4,26,5,2,116,118.3
Quận Long Biên,Duplex,Sổ hồng,8.8,30,17,3,126,135.6
Quận Đống Đa,Duplex,Sổ hồng,11.3,24,24,4,142,134.1
Quận Hà Đông,Duplex,Sổ hồng,16.2,24,12,1,69,96.4
Quận Cầu Giấy,Duplex,Sổ hồng,12.5,19,18,5,112,129.8
Quận Cầu Giấy,Chung cư,Đã có sổ,11.5,22,18,5,105,127
Quận Cầu Giấy,Chung cư,Sổ hồng,8.4,10,6,5,103,147.8
Quận Tây Hồ,Chung cư,Đã có sổ,1,3,24,4,55,165.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,3.4,2,33,3,104,160.3
Quận Tây Hồ,Chung cư,Sổ hồng,10.5,2,6,5,66,133.1
Quận Cầu Giấy,Chung cư,Sổ hồng,13.1,32,27,1,72,116.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,4,4,17,1,125,150.5
Quận Cầu Giấy,Chung cư,Sổ hồng,13.7,36,37,1,42,106.4
Quận Long Biên,Chung cư,Sổ hồng,10.7,22,28,2,54,111.4
Quận Hà Đông,Chung cư,Sổ hồng,13.6,2,22,5,115,107.7
Quận Cầu Giấy,Chung cư,Sổ hồng,10.8,36,23,3,47,121.1
Quận Đống Đa,Chung cư,Sổ hồng,8.8,12,16,3,143,140.2
Quận Thanh Xuân,Chung cư,Đã có sổ,6.6,31,4,2,121,144.4
Quận Đống Đa,Chung cư,Sổ hồng,3.7,8,31,1,93,148.9
Quận Đống Đa,Penthouse,Sổ hồng,2.2,4,11,2,66,168
Quận Hai Bà Trưng,Chung cư,Sổ hồng,17.2,37,29,1,117,97
Quận Tây Hồ,Chung cư,Sổ hồng,11.1,31,3,4,79,131.1
Quận Hà Đông,Chung cư,Sổ hồng,19.8,31,26,5,112,95.5
Quận Hà Đông,Chung cư,Sổ hồng,17,22,8,2,115,103.8
Quận Long Biên,Chung cư,Đã có sổ,2.8,11,22,1,136,154.2
Quận Đống Đa,Penthouse,Sổ hồng,17.5,20,33,5,149,136
Quận Cầu Giấy,Chung cư,Sổ hồng,15.6,35,30,4,93,108.4
Quận Long Biên,Chung cư,Đã có sổ,19.8,26,21,5,149,104.1
Quận Cầu Giấy,Chung cư,Sổ hồng,17.8,23,35,3,73,104.7
Quận Cầu Giấy,Chung cư,Sổ hồng,7.5,19,29,3,41,143.5
Quận Cầu Giấy,Chung cư,Đã có sổ,13,13,37,1,99,125.8
Quận Cầu Giấy,Chung cư,Sổ hồng,12.9,12,3,3,114,132.9
Quận Cầu Giấy,Chung cư,Đã có sổ,18.9,14,12,4,79,112.8
Quận Cầu Giấy,Chung cư,Đã có sổ,3.9,9,15,5,38,149.2
Quận Hà Đông,Duplex,Sổ hồng,9.1,6,5,1,117,136.5
Quận Thanh Xuân,Penthouse,Sổ hồng,11.8,14,33,1,112,132.1
Quận Cầu Giấy,Chung cư,Sổ hồng,0.6,5,8,5,42,151.6
Quận Đống Đa,Chung cư,Sổ hồng,3.4,34,32,1,132,146.9
Quận Thanh Xuân,Chung cư,Đã có sổ,13.1,18,32,2,57,110.3
Quận Cầu Giấy,Chung cư,Sổ hồng,9.7,11,19,3,57,125.3
Quận Hà Đông,Chung cư,Đã có sổ,5.5,31,29,2,145,141.6
Quận Thanh Xuân,Chung cư,Đã có sổ,4.2,11,19,2,59,145.3
Quận Thanh Xuân,Chung cư,Sổ hồng,15.2,23,17,1,128,116.7
Quận Hà Đông,Chung cư,Sổ hồng,10.2,34,38,5,101,119.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,6.1,1,25,2,124,156.3
Quận Đống Đa,Chung cư,Sổ hồng,7.2,6,10,5,114,150.3
Quận Tây Hồ,Penthouse,Đã có sổ,15.4,27,6,5,71,131.7
Quận Hà Đông,Chung cư,Sổ hồng,7.8,12,23,2,119,132.1
Quận Hà Đông,Chung cư,Sổ hồng,8.2,15,24,4,97,124.7
Quận Thanh Xuân,Chung cư,Sổ hồng,10.6,34,13,1,71,121.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1.7,13,28,5,60,152.8
Quận Cầu Giấy,Chung cư,Đã có sổ,14.6,13,28,2,76,125
Quận Hà Đông,Duplex,Sổ hồng,2.3,0,37,1,107,158.7
Quận Hà Đông,Chung cư,Sổ hồng,17.8,10,13,4,140,113.1
Quận Đống Đa,Chung cư,Sổ hồng,11.1,9,33,3,92,128.1
Quận Tây Hồ,Chung cư,Sổ hồng,18.9,39,4,5,62,100.8
Quận Tây Hồ,Penthouse,Sổ hồng,8.3,13,26,1,81,156.7
Quận Cầu Giấy,Duplex,Sổ hồng,19.7,37,35,2,89,99.6
Quận Thanh Xuân,Penthouse,Sổ hồng,12.4,32,25,3,138,129
Quận Long Biên,Chung cư,Đã có sổ,2.9,28,34,4,67,141.8
Quận Hà Đông,Chung cư,Đã có sổ,11.5,7,38,4,58,118.4
Quận Hà Đông,Chung cư,Sổ hồng,1.5,32,9,3,60,139.5
Quận Hai Bà Trưng,Chung cư,Đã có sổ,9.1,2,39,4,130,142.5
Quận Đống Đa,Chung cư,Sổ hồng,13.6,8,36,1,43,120.5
Quận Tây Hồ,Chung cư,Sổ hồng,3.1,12,4,4,148,163.1
Quận Đống Đa,Chung cư,Sổ hồng,3.7,5,8,2,136,153.3
Quận Hà Đông,Chung cư,Đã có sổ,15.4,35,10,4,54,102
Quận Đống Đa,Chung cư,Đã có sổ,5.8,37,19,3,136,144.3
Quận Long Biên,Chung cư,Đã có sổ,17.2,4,5,5,112,108.8
Quận Đống Đa,Duplex,Đã có sổ,12.5,5,7,2,95,132.3
Quận Đống Đa,Duplex,Sổ hồng,11.2,14,4,2,61,128.8
Quận Tây Hồ,Chung cư,Sổ hồng,8.2,30,15,5,46,134.1
Quận Đống Đa,Chung cư,Đã có sổ,19.2,35,5,1,35,103
Quận Hà Đông,Chung cư,Đã có sổ,12.7,32,14,3,81,114
Quận Hai Bà Trưng,Chung cư,Sổ hồng,2,6,27,1,66,155.3
Quận Đống Đa,Chung cư,Sổ hồng,8.5,18,39,3,110,141.6
Quận Cầu Giấy,Duplex,Đã có sổ,2.9,1,16,2,84,168.9
Quận Hà Đông,Chung cư,Đã có sổ,14.8,33,11,5,70,103
Quận Hai Bà Trưng,Chung cư,Sổ hồng,5.4,35,30,3,67,141.9
Quận Hà Đông,Chung cư,Sổ hồng,0.8,34,33,1,79,145.2
Quận Hai Bà Trưng,Duplex,Sổ hồng,19.9,36,4,1,82,99.9
Quận Hà Đông,Chung cư,Đã có sổ,9.7,35,19,4,121,130.2
Quận Tây Hồ,Chung cư,Sổ hồng,1.2,4,16,4,106,168
Quận Thanh Xuân,Duplex,Sổ hồng,9.4,25,8,4,47,125.8
Quận Cầu Giấy,Chung cư,Sổ hồng,5.8,20,3,5,136,151.7
Quận Hà Đông,Chung cư,Đã có sổ,14.7,24,11,2,80,104.1
Quận Đống Đa,Chung cư,Sổ hồng,0.6,24,26,4,118,152.5
Quận Hà Đông,Chung cư,Sổ hồng,3.2,11,26,3,89,151.9
Quận Thanh Xuân,Chung cư,Đã có sổ,7.4,37,14,3,120,138.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,8.2,5,13,5,140,151.7
Quận Hà Đông,Duplex,Đã có sổ,10,6,38,2,101,138.2
Quận Đống Đa,Penthouse,Sổ hồng,7.4,7,28,2,147,162.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,8.3,29,25,3,146,138.6
Quận Hai Bà Trưng,Duplex,Sổ hồng,10,19,35,5,89,131.4
Quận Hà Đông,Chung cư,Sổ hồng,18.7,12,38,2,132,100.1
Quận Đống Đa,Penthouse,Sổ hồng,10.8,15,34,4,132,142.7
Quận Hà Đông,Duplex,Sổ hồng,8.9,23,28,1,81,128.3
Quận Long Biên,Chung cư,Đã có sổ,1.4,16,39,1,98,160.7
Quận Long Biên,Chung cư,Sổ hồng,3.4,12,26,4,96,143.8
Quận Hà Đông,Chung cư,Sổ hồng,15.3,35,25,4,51,99
Quận Cầu Giấy,Chung cư,Sổ hồng,19.2,19,32,4,60,102
Quận Cầu Giấy,Duplex,Sổ hồng,8,11,30,3,89,146.9
Quận Hà Đông,Chung cư,Sổ hồng,19.3,20,28,3,141,103.7
Quận Đống Đa,Chung cư,Sổ hồng,6.9,37,37,1,124,133.2
Quận Đống Đa,Penthouse,Sổ hồng,19.1,36,24,4,109,109.8
Quận Thanh Xuân,Duplex,Sổ hồng,12.4,20,29,5,104,124.8
Quận Hai Bà Trưng,Duplex,Đã có sổ,1.1,20,4,2,93,158.7
Quận Tây Hồ,Chung cư,Đã có sổ,2,34,36,3,63,156.7
Quận Đống Đa,Chung cư,Sổ hồng,19.6,32,13,5,103,100.9
Quận Cầu Giấy,Chung cư,Đã có sổ,6.5,5,25,2,113,153
Quận Đống Đa,Duplex,Sổ hồng,0.8,4,6,1,64,161.4
Quận Đống Đa,Chung cư,Sổ hồng,2,28,11,2,105,151.1
Quận Long Biên,Chung cư,Sổ hồng,10.8,20,28,5,72,116.7
Quận Hà Đông,Duplex,Đã có sổ,5,2,30,5,101,150
Quận Hà Đông,Chung cư,Sổ hồng,15.2,11,35,1,123,112.8
Quận Đống Đa,Chung cư,Sổ hồng,17.7,10,23,5,40,105
Quận Đống Đa,Duplex,Sổ hồng,7.6,12,29,3,142,145.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,14.1,12,32,5,51,112.6
Quận Cầu Giấy,Penthouse,Sổ hồng,14.6,13,4,4,116,136.8
Quận Đống Đa,Chung cư,Sổ hồng,9.7,14,29,2,102,133
Quận Cầu Giấy,Chung cư,Đã có sổ,5.6,24,23,1,70,140.6
Quận Thanh Xuân,Chung cư,Đã có sổ,15.3,39,17,5,119,106.2
Quận Hai Bà Trưng,Chung cư,Sổ hồng,1.5,21,9,2,37,145.1
Quận Cầu Giấy,Duplex,Sổ hồng,2.1,15,20,4,38,154.2
Quận Thanh Xuân,Penthouse,Đã có sổ,2.8,8,4,1,114,172.9
Quận Hai Bà Trưng,Penthouse,Đã có sổ,6.7,12,34,5,122,157.3
Quận Đống Đa,Chung cư,Sổ hồng,6.3,8,31,2,40,141
Quận Cầu Giấy,Chung cư,Đã có sổ,6.7,18,26,1,130,157.7
Quận Đống Đa,Chung cư,Đã có sổ,2.4,18,7,3,113,165.8
Quận Cầu Giấy,Chung cư,Sổ hồng,8.7,11,20,3,62,140.4
Quận Thanh Xuân,Chung cư,Đã có sổ,9.9,9,21,5,105,141.3
Quận Hà Đông,Chung cư,Sổ hồng,17.7,12,26,2,72,95.9
Quận Cầu Giấy,Chung cư,Sổ hồng,18.6,3,19,4,121,117
Quận Tây Hồ,Chung cư,Sổ hồng,7,0,6,2,59,154.9
Quận Cầu Giấy,Duplex,Sổ hồng,19.2,14,39,4,125,117.4
Quận Long Biên,Duplex,Đã có sổ,9.8,1,20,4,43,129
Quận Long Biên,Chung cư,Đã có sổ,16.9,7,29,2,79,109.1
Quận Tây Hồ,Chung cư,Sổ hồng,0.6,0,36,5,68,168.5
Quận Hà Đông,Chung cư,Sổ hồng,2.1,28,4,3,98,143.8
Quận Long Biên,Chung cư,Đã có sổ,8.8,22,19,1,117,134.2
Quận Tây Hồ,Chung cư,Sổ hồng,8.2,38,36,3,116,129.7
Quận Cầu Giấy,Chung cư,Sổ hồng,9.5,16,6,1,132,140.4
Quận Hà Đông,Duplex,Sổ hồng,5.7,12,7,1,107,145.1
Quận Cầu Giấy,Duplex,Sổ hồng,11.7,14,14,3,87,129.7
Quận Đống Đa,Chung cư,Sổ hồng,14.9,7,20,2,45,116.7
Quận Đống Đa,Chung cư,Sổ hồng,3.1,31,39,3,111,154.4
Quận Thanh Xuân,Chung cư,Sổ hồng,11.2,6,34,5,41,120.1
Quận Long Biên,Penthouse,Sổ hồng,5.1,12,19,1,77,146.4
Quận Cầu Giấy,Duplex,Sổ hồng,17.8,14,39,5,87,120.6
Quận Long Biên,Chung cư,Đã có sổ,18.2,17,23,5,144,112.7
Quận Cầu Giấy,Duplex,Sổ hồng,14.4,16,28,3,36,122.9
Quận Đống Đa,Chung cư,Sổ hồng,3.8,16,36,3,48,148.2
Quận Cầu Giấy,Chung cư,Sổ hồng,19.1,3,39,1,121,110
Quận Thanh Xuân,Duplex,Sổ hồng,14.9,34,25,3,130,114.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,2.5,13,7,5,136,169.4
Quận Thanh Xuân,Chung cư,Đã có sổ,11.8,38,15,3,84,113.4
Quận Hà Đông,Chung cư,Đã có sổ,12.6,14,25,4,79,117.7
Quận Tây Hồ,Chung cư,Đã có sổ,12,21,31,1,87,139.2
Quận Cầu Giấy,Duplex,Sổ hồng,10.9,29,25,3,131,137.9
Quận Long Biên,Duplex,Đã có sổ,1.9,27,20,4,69,153.6
Quận Cầu Giấy,Duplex,Đã có sổ,4.3,28,33,2,102,159.3
Quận Cầu Giấy,Chung cư,Sổ hồng,18.7,27,10,3,113,114.9
Quận Cầu Giấy,Duplex,Đã có sổ,15.5,1,18,2,146,136.8
Quận Tây Hồ,Chung cư,Sổ hồng,11.5,30,37,3,98,132.9
Quận Thanh Xuân,Chung cư,Đã có sổ,11.9,8,28,1,87,129.3
Quận Long Biên,Chung cư,Đã có sổ,6.3,23,37,1,121,139.5
Quận Tây Hồ,Chung cư,Sổ hồng,6.8,34,7,4,64,132
Quận Hà Đông,Chung cư,Đã có sổ,3,15,26,1,73,137.7
Quận Đống Đa,Chung cư,Đã có sổ,18.6,27,21,2,66,104.7
Quận Hai Bà Trưng,Chung cư,Đã có sổ,13.3,23,20,3,93,127.4
Quận Hà Đông,Chung cư,Sổ hồng,5.7,31,35,1,74,127.5
Quận Cầu Giấy,Chung cư,Sổ hồng,14.4,18,8,4,144,121.7
Quận Hà Đông,Chung cư,Sổ hồng,17.1,9,35,1,74,102.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,14.2,9,27,2,42,118.5
Quận Long Biên,Chung cư,Sổ hồng,5.9,4,20,4,55,132.6
Quận Thanh Xuân,Penthouse,Đã có sổ,4.8,30,11,3,131,156.7
Quận Cầu Giấy,Chung cư,Sổ hồng,2.6,29,33,2,63,145.4
Quận Tây Hồ,Penthouse,Sổ hồng,8.3,35,28,3,50,139.9
Quận Cầu Giấy,Chung cư,Sổ hồng,18.6,27,8,3,123,106.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,4.4,0,28,5,126,156.8
Quận Cầu Giấy,Chung cư,Sổ hồng,9.9,23,15,5,138,136.1
Quận Long Biên,Duplex,Đã có sổ,0.7,15,26,3,63,160.1
Quận Tây Hồ,Chung cư,Sổ hồng,17,31,18,5,130,121.7
Quận Thanh Xuân,Chung cư,Sổ hồng,12.6,6,36,5,60,116.1
Quận Cầu Giấy,Duplex,Sổ hồng,6.8,20,34,4,78,146.2
Quận Hà Đông,Penthouse,Sổ hồng,3,13,9,2,69,150.9
Quận Thanh Xuân,Penthouse,Sổ hồng,12.8,1,3,3,93,138.5
Quận Hà Đông,Chung cư,Sổ hồng,11,38,16,2,106,119.6
Quận Hai Bà Trưng,Duplex,Sổ hồng,19.7,8,5,3,147,117.9
Quận Thanh Xuân,Duplex,Đã có sổ,9.7,0,10,1,59,134.9
Quận Hà Đông,Duplex,Đã có sổ,3.6,30,5,5,35,138.3
Quận Long Biên,Penthouse,Sổ hồng,17,34,10,1,97,110.1
Quận Đống Đa,Duplex,Đã có sổ,17.9,4,8,5,80,115.4
Quận Thanh Xuân,Chung cư,Đã có sổ,2.5,16,33,5,109,153.2
Quận Hai Bà Trưng,Chung cư,Sổ hồng,16.6,2,36,2,140,118.1
Quận Hai Bà Trưng,Chung cư,Đã có sổ,5.6,2,21,1,141,160.4
Quận Đống Đa,Duplex,Sổ hồng,11,33,38,3,110,140
Quận Thanh Xuân,Chung cư,Đã có sổ,12.1,21,15,4,93,125
Quận Cầu Giấy,Chung cư,Đã có sổ,18,22,4,5,40,106.5
Quận Long Biên,Chung cư,Đã có sổ,3.6,5,34,4,80,147
Quận Long Biên,Penthouse,Sổ hồng,0.9,7,19,2,105,170.2
Quận Hai Bà Trưng,Duplex,Đã có sổ,12.1,6,12,3,133,138.9
Quận Cầu Giấy,Chung cư,Sổ hồng,12.8,3,13,5,96,130.1
Quận Đống Đa,Chung cư,Sổ hồng,19.3,1,36,3,115,109.8
Quận Long Biên,Chung cư,Sổ hồng,2.4,35,29,3,68,135.8
Quận Hà Đông,Chung cư,Sổ hồng,8.5,31,7,1,58,119.1
Quận Thanh Xuân,Chung cư,Đã có sổ,14.4,34,22,2,103,122.7
Quận Đống Đa,Penthouse,Đã có sổ,11.3,4,14,4,136,152
Quận Long Biên,Chung cư,Sổ hồng,19.1,27,19,1,145,102.7
Quận Cầu Giấy,Chung cư,Sổ hồng,2.2,10,19,2,122,158.5
Quận Đống Đa,Duplex,Sổ hồng,3.4,8,36,3,114,158.9
Quận Đống Đa,Chung cư,Sổ hồng,12.5,35,8,1,137,130.1
Quận Đống Đa,Chung cư,Đã có sổ,12.8,38,18,1,57,120.5
Quận Đống Đa,Chung cư,Sổ hồng,9.6,1,28,4,36,119.8
Quận Đống Đa,Penthouse,Sổ hồng,14.9,5,10,3,69,131.2
Quận Cầu Giấy,Chung cư,Sổ hồng,7,21,11,3,131,148.9
Quận Thanh Xuân,Duplex,Sổ hồng,5.8,29,35,5,147,147.2
Quận Đống Đa,Chung cư,Sổ hồng,4.2,4,32,5,70,144.2
Quận Cầu Giấy,Duplex,Sổ hồng,12.3,28,23,5,68,123.3
Quận Đống Đa,Duplex,Sổ hồng,16.2,5,22,3,83,118.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,1.1,0,16,3,81,162.6
Quận Thanh Xuân,Chung cư,Đã có sổ,3.6,1,3,1,46,158.6
Quận Đống Đa,Chung cư,Đã có sổ,17.1,37,38,1,65,101.4
Quận Đống Đa,Chung cư,Đã có sổ,0.9,3,26,3,43,155.5
Quận Thanh Xuân,Penthouse,Sổ hồng,1.4,7,29,1,110,169.1
Quận Hà Đông,Chung cư,Đã có sổ,10.5,20,20,4,65,121.9
Quận Tây Hồ,Chung cư,Đã có sổ,7.7,8,29,3,73,139.6
Quận Hà Đông,Duplex,Sổ hồng,15.5,37,19,4,65,107.3
Quận Đống Đa,Penthouse,Sổ hồng,13.2,33,5,1,53,128.3
Quận Cầu Giấy,Chung cư,Đã có sổ,4.2,11,23,5,90,151.1
Quận Cầu Giấy,Duplex,Sổ hồng,7.1,14,6,4,102,145.3
Quận Cầu Giấy,Chung cư,Đã có sổ,2.2,26,16,1,144,171.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,2.3,15,18,4,55,152.6
Quận Hà Đông,Chung cư,Sổ hồng,19.6,4,21,1,37,90.5
Quận Thanh Xuân,Chung cư,Sổ hồng,1.3,30,30,4,112,156.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,4,36,21,2,108,141.4
Quận Cầu Giấy,Chung cư,Sổ hồng,8.2,34,25,2,60,135.5
Quận Thanh Xuân,Chung cư,Sổ hồng,12,35,35,2,114,117.3
Quận Hà Đông,Chung cư,Sổ hồng,19.1,21,15,3,70,95.6
Quận Thanh Xuân,Chung cư,Sổ hồng,8.1,27,14,5,134,134.2
Quận Đống Đa,Penthouse,Đã có sổ,4.1,14,10,5,83,159.6
Quận Thanh Xuân,Penthouse,Sổ hồng,10,14,28,5,125,148.5
Quận Hà Đông,Chung cư,Đã có sổ,15.5,24,11,1,56,98
Quận Long Biên,Chung cư,Sổ hồng,5.6,34,30,3,49,127.2
Quận Long Biên,Duplex,Sổ hồng,3.8,16,37,3,42,147.9
Quận Long Biên,Chung cư,Sổ hồng,14.4,9,31,1,119,120.1
Quận Long Biên,Penthouse,Đã có sổ,10.7,29,35,4,86,127.4
Quận Đống Đa,Chung cư,Sổ hồng,13.8,29,16,4,61,116.8
Quận Đống Đa,Chung cư,Sổ hồng,7.6,35,17,3,83,135.3
Quận Đống Đa,Duplex,Sổ hồng,16.4,33,21,5,83,108.6
Quận Long Biên,Chung cư,Sổ hồng,8.8,31,35,5,120,123.4
Quận Đống Đa,Chung cư,Đã có sổ,13.3,9,10,3,40,121.6
Quận Cầu Giấy,Duplex,Đã có sổ,8,38,36,4,127,143.8
Quận Long Biên,Penthouse,Đã có sổ,11.6,39,29,1,138,127.7
Quận Hai Bà Trưng,Chung cư,Đã có sổ,11.5,6,32,2,120,132.2
Quận Long Biên,Duplex,Sổ hồng,16.1,26,26,4,70,106.5
Quận Thanh Xuân,Penthouse,Sổ hồng,2.4,0,34,3,127,173.9
Quận Thanh Xuân,Chung cư,Sổ hồng,4.9,3,38,2,139,153.1
Quận Thanh Xuân,Chung cư,Đã có sổ,6.2,3,39,5,101,138.4
Quận Hà Đông,Chung cư,Đã có sổ,10.4,8,5,1,72,122.8
Quận Cầu Giấy,Chung cư,Đã có sổ,18.2,14,39,1,122,118
Quận Hà Đông,Duplex,Sổ hồng,16.1,9,3,5,69,114.1
Quận Thanh Xuân,Chung cư,Sổ hồng,16.8,7,5,4,64,104.4
Quận Thanh Xuân,Chung cư,Sổ hồng,7.2,24,29,2,49,129.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,7,14,34,2,78,139.6
Quận Long Biên,Chung cư,Sổ hồng,14.1,3,34,4,66,110.1
Quận Cầu Giấy,Chung cư,Sổ hồng,17.2,12,19,4,43,105.2
Quận Đống Đa,Chung cư,Sổ hồng,19.2,19,37,1,121,110.5
Quận Cầu Giấy,Duplex,Đã có sổ,7.6,0,34,1,57,145.3
Quận Cầu Giấy,Duplex,Đã có sổ,12.8,25,20,3,38,122.6
Quận Hai Bà Trưng,Duplex,Đã có sổ,14.2,34,38,4,119,130.5
Quận Hai Bà Trưng,Duplex,Đã có sổ,18.1,16,30,1,56,112.6
Quận Long Biên,Penthouse,Đã có sổ,14.9,27,38,2,81,121.9
Quận Hà Đông,Chung cư,Đã có sổ,8.8,22,9,4,63,115.3
Quận Long Biên,Penthouse,Sổ hồng,15.5,37,34,4,132,122.2
Quận Cầu Giấy,Chung cư,Đã có sổ,9.3,24,13,1,94,133.6
Quận Thanh Xuân,Chung cư,Sổ hồng,19.8,13,30,5,68,92.7
Quận Cầu Giấy,Chung cư,Sổ hồng,7.6,30,28,4,113,141.2
Quận Long Biên,Chung cư,Đã có sổ,1.9,12,16,4,111,153.9
Quận Thanh Xuân,Chung cư,Sổ hồng,14.4,17,27,4,132,119.9
Quận Cầu Giấy,Chung cư,Sổ hồng,6.3,17,25,5,141,147.5
Quận Đống Đa,Chung cư,Sổ hồng,14.3,10,17,3,132,133.4
Quận Cầu Giấy,Duplex,Sổ hồng,2,5,33,1,83,167.7
Quận Cầu Giấy,Chung cư,Đã có sổ,19.7,4,32,5,75,109.1
Quận Cầu Giấy,Duplex,Sổ hồng,16,6,31,4,82,132.5
Quận Cầu Giấy,Chung cư,Sổ hồng,13.9,34,31,3,101,117.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,13,0,13,4,75,131.6
Quận Đống Đa,Chung cư,Sổ hồng,3.2,13,21,2,129,158.1
Quận Thanh Xuân,Duplex,Sổ hồng,3.3,13,37,1,146,162.1
Quận Thanh Xuân,Penthouse,Sổ hồng,2,5,21,4,57,161.2
Quận Long Biên,Chung cư,Sổ hồng,15.4,18,15,4,100,108.4
Quận Hà Đông,Penthouse,Sổ hồng,14.4,8,27,1,144,131.2
Quận Hai Bà Trưng,Duplex,Đã có sổ,17.4,23,12,4,77,110.8
Quận Hà Đông,Chung cư,Sổ hồng,13.2,37,10,1,121,109.4
Quận Thanh Xuân,Chung cư,Sổ hồng,8.2,10,9,4,59,133
Quận Tây Hồ,Duplex,Sổ hồng,18.1,29,26,1,53,114.5
Quận Đống Đa,Chung cư,Sổ hồng,12.5,12,39,2,86,127.7
Quận Cầu Giấy,Chung cư,Sổ hồng,1.4,29,32,4,139,161.1
Quận Hà Đông,Chung cư,Sổ hồng,18,2,20,2,103,108.9
Quận Thanh Xuân,Chung cư,Sổ hồng,17.5,36,12,4,112,101.7
Quận Thanh Xuân,Chung cư,Sổ hồng,15.3,7,7,4,71,116.7
Quận Tây Hồ,Chung cư,Sổ hồng,18.6,30,38,3,56,97.9
Quận Long Biên,Duplex,Sổ hồng,8.3,15,31,5,149,143.5
Quận Thanh Xuân,Duplex,Đã có sổ,17,13,11,1,49,104.5
Quận Hà Đông,Chung cư,Đã có sổ,18.7,20,38,4,133,107.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,15.9,15,35,2,136,120.5
Quận Thanh Xuân,Chung cư,Đã có sổ,14.8,20,34,1,115,127.1
Quận Đống Đa,Duplex,Sổ hồng,7.4,33,12,5,72,140.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,7.1,0,20,3,112,151.1
Quận Đống Đa,Chung cư,Sổ hồng,18,30,19,5,102,95.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,4,16,12,3,81,145.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,1.3,33,4,5,111,156.1
Quận Tây Hồ,Chung cư,Đã có sổ,13,18,16,2,59,126.2
Quận Hà Đông,Duplex,Đã có sổ,7.1,34,23,4,122,137.7
Quận Long Biên,Chung cư,Sổ hồng,14.7,21,35,5,96,108.2
Quận Cầu Giấy,Chung cư,Sổ hồng,20,15,7,4,50,98.9
Quận Thanh Xuân,Penthouse,Sổ hồng,4.7,9,36,4,80,153.5
Quận Cầu Giấy,Chung cư,Sổ hồng,6.7,14,13,2,64,148.4
Quận Đống Đa,Chung cư,Sổ hồng,12.1,30,15,2,96,126.9
Quận Cầu Giấy,Chung cư,Sổ hồng,13.5,35,31,2,40,116.4
Quận Long Biên,Chung cư,Đã có sổ,19.9,28,13,2,54,81.8
Quận Đống Đa,Duplex,Sổ hồng,10.2,33,10,4,134,139.3
Quận Cầu Giấy,Duplex,Sổ hồng,4.8,33,35,3,120,145.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,17.7,3,34,5,46,112.5
Quận Long Biên,Chung cư,Đã có sổ,14.3,31,8,4,51,107.9
Quận Hai Bà Trưng,Duplex,Sổ hồng,12.6,32,4,2,132,135.5
Quận Cầu Giấy,Chung cư,Sổ hồng,17.4,22,31,1,74,103.7
Quận Long Biên,Chung cư,Sổ hồng,2,11,37,3,144,158.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9.4,2,34,3,72,129.7
Quận Hà Đông,Duplex,Sổ hồng,17.8,17,24,5,100,107.7
Quận Thanh Xuân,Chung cư,Sổ hồng,2.1,1,6,4,84,151
Quận Hà Đông,Chung cư,Đã có sổ,11.7,8,36,1,126,129.8
Quận Long Biên,Chung cư,Đã có sổ,6.6,15,28,5,68,130
Quận Thanh Xuân,Chung cư,Sổ hồng,11.5,21,36,4,126,129.2
